code,印度尼西亚 Indonesian
g_warning_ip_blocked,"Maaf, permainan ini tidak tersedia di lokasi Anda. Untuk keterangan lebih lanjut, silahkan hubungi pelayanan pelanggan, terima kasih"
user_info_sketchmap,"Pada bagan ini, Anda bisa lihat taruhan sebelumnya"
user_info_bet_types,Jenis taruhan
user_info_bet_count,Jumlah Taruhan
user_info_payout_count,Jumlah Payout
user_info_nick_name,Nama Panggilan
user_info_update,Ubah
user_info_online,Durasi online
user_info_best_ranking,Peringkat terbaik
user_info_bets_today,Taruhan hari ini
user_info_two_week,Taruhan sah 2 minggu terakhir
user_info_name_max,"Nama tidak bisa lebih dari 7 huruf, silahkan diubah"
user_info_name_null,Nama tidak boleh kosong
user_repeat_name,Nama telah dipakai
user_info_updated,Modifikasi Berhasil
lan_select_title,Bahasa
setting_language,Pilih bahasa
setting_music,Musik
setting_sound,Suara
setting_enable_gesture,Aktifkan Gesture Lock
setting_enable_touchid,Tekan untuk mengaktifkan Touch ID
setting_change_gesture,Ganti Gesture Anda
setting_gesture_lock,Kunci Gesture
setting_gesture_set_gesture,Atur Gesture
setting_gesture_login_touch_id,Login dengan Touch ID
check_finger_title,Verifikasi Touch ID
g_not_device,Fitur ini tidak didukung pada perangkatan Anda
g_not_open_finger,"Touch ID belum diaktifkan, harap diaktifkan pengaturan Touch ID"
input_gesture,Masukkan gesture untuk membuka
gesture_repeat,Ulang
gesture_continue,Lanjut
gesture_num_tip,Silahkan hubungkan setidaknya empat titik
gesture_error_tip,"Gesture salah, harap coba ulang"
multi_desk_guide_tip,Scroll untuk memilih lebih banyak meja
g_player_simple,P
g_banker_simple,B
g_tie_simple,TIE
roomlimit_min_bet,Min Taruhan
roomlimit_max_bet,Maks Taruhan
payout_natural_winner,Berbakat Pemenang
payout_tip,Pembayaran
warning_exit_game,Apakah anda mau keluar?
warning_words_empty,Pesan tidak boleh kosong
warning_exchange_language,Ganti bahasa sekarang?
warning_quite_account,Yakin untuk keluar dari akun ini?
g_single_num,Nomor Tunggal
main_menu_dealer_name,Dealer: %s
main_menu_current_players,Pemain saat ini: %s
main_menu_once_max_payout,Pembayaran terbesar: %s
g_warning_network_error,"Koneksi jaringan tidak tersedia, silahkan cek pengaturan anda"
g_relogin,Login ulang
g_warning_network_error_title,Koneksi gagal
g_warning_server_unavailable,"Server sedang dalam pemeliharaan, silahkan coba ulang setelah beberapa saat"
bacc_match_chip,Chip untuk masuk
bacc_match_current_ranking,Rangking
g_no_ranking,Tidak ada
g_join_match,Klik untuk bergabung
g_match_round,Ronde
bacc_match_ask_join,"Pertandingan Baccarat sedang dimulai, Anda mau bergabung?"
bacc_match_not_gold,"Ketika pertandingan dimulai, saldo Anda akan dibekukan untuk sementara. Silahkan cek halaman Turnamen untuk keterangan lebih lanjut."
g_watch_game,Lihat pertandingan
g_join_game,Ikut Pertandingan
g_start_time,Waktu mulai
g_user_name,Akun
g_balance,Saldo
g_matched,Telah dipromosikan
g_no_match,Masih belum masuk
bacc_match_ranking_not_begin,Permainan ini belum di-rangking
bacc_match_no_ranking,Tidak ada peringkat
g_rollback,Telah dikembalikan
roadmap_triple,T
roadmap_small,Kcl
roadmap_big,Bsr
get_video_playback,Sedang mengakses pemutaran ulang video
g_year,Tahun
g_month,Bulan
g_day,Hari
g_server_maintenance,"Server akan segera melakukan pemeliharaan, kami mohon maaf atas ketidaknyamananya."
g_server_maintenance_now,"Dalam proses pemeliharaan server, mohon maaf atas ketidaknyamanan Anda."
g_server_maintenance_login,"Server akan segera melakukan pemeliharaan, kami mohon maaf atas ketidaknyamananya."
g_login_conflict,"Akun Anda pada %s login di sistem %s, kata sandi tidak aman jika bukan Anda, hubungi layanan pelanggan untuk keterangan lebih lanjut."
g_server_maintenance_title,Sistem dalam pemeliharaan
g_warning_connection_server_failed,"Koneksi server gagal, harap coba ulang."
device_type_unknow,Tak dikenal
user_all_bet,Pasang semuanya
user_no_chat,Fungsi chat tersedia setelah memasang taruhan
user_no_continuitychat,Harap jangan kirim pesan terus-menerus
warning_least_chip,Pilih enam chip utama
warning_no_enough_double,Saldo tidak cukup untuk menggandakan taruhan
warning_wrongful_name,Nama tidak sah
warning_tourist_account_no_use,Fitur ini tidak tersedia untuk akun tamu
warning_error_time_to_try,"Akun atau kata sandi salah, anda masih memiliki %s kali percobaan"
warning_download_good_experience,Unduh file utama untuk masuk ke casino. File utama didesain khusus untuk tiap bagian untuk mengurangi jumlah unduhan
warning_overtime_operation,"Waktu habis, silahkan sambung ulang"
warning_watch_asset_details,"Terdapat gangguan jaringan, silahkan cek saldo anda di Detil Aset"
user_total_bet,Total taruhan
g_multi_table,Multi-meja
g_room_detail,Detail Kamar
add_time,Tambahan 10 detik
tokenExpired,Verifikasi gagal
bet_edit,Ubah
double_chip,Ganda
g_activity,Kegiatan
today_profit,Kemenangan hari ini
invalidUser,Akun tidak sah
need_bet_for_no_out,"Anda belum menaruh taruhan dalam 3 ronde, silahkan taruh taruhan
 di 2 ronde berikut atau Anda akan keluar secara otomatis"
no_bet_to_out,Kini anda telah keluar
fast_join_room,Masuk ke kamar sebelumnya
balance_before,Saldo sebelum
balance_after,Saldo setelah
game_details,Detail
setting_gesture_desc,Aktifkan Gesture Lock untuk masuk secara langusng
g_bet_plan,Pilihan
roulette_page_num,Nomor sisi
g_least_chip,Chip yang rutin digunakan
sicbo_hot_sum,Nomor sering
sicbo_cold_sum,Nomor langka
int_max9,Silahkan masukkan maksimal 9 digit angka
g_is_open,Aktif
g_not_open,Nonaktif
txt_zh_cn,Bahasa China Sederhana
txt_en_us,Bahasa Inggris
txt_zh_tw,Bahasa China Tradisional (Taiwan)
txt_ms_my,Bahasa Melayu
txt_vi_vn,Bahasa Vietnam
txt_ko_kr,Bahasa Korea
txt_ja_jp,Bahasa Jepang
txt_in_id,Bahasa Indonesia
txt_th_th,Thailand
txt_zh_hk,Bahasa China Tradisional (Hongkong)
topbar_setting_sound,Pengaturan Suara
g_select_limit,Pilih batas taruhan
g_out_of_limit,Silahkan bertaruh sesuai dengan batas taruhan yang berlaku
user_no_chat_1,Chat aktif setelah memasang taruhan
user_no_null,Pesan tidak boleh kosong
chat_enter,Masuk ke permainan
help7_1,"Pemain dapat mengatur Pengaturan Taruhan Rutin hingga enam kombinasi taruhan. Setelah pengaturan taruhan disimpan, pemain dapat bertaruh menggunakan salah satu dari enam kombinasi taruhan."
help7_2,Ubah Pengaturan Taruhan
help6_1,Pemain juga dapat memasang taruhan sampingan pada roda roulette kecil.
plan_save,Simpan
back_to_watch_video,"Anda di dalam kamar permainan, Anda akan kembali ke lobi bila ingin melihat video ulang, melihat sekarang?"
g_addMoney,Deposit
g_getMoney,Penarikan
bacc_match,Turnamen Baccarat
g_backMoney,Pembayaran kembali
bacc_mi_open,Klik untuk membuka kartu
bacc_mi_edge,Geser sisi manapun untuk mengintip
bacc_mi_master_open_card,Dealer menunjukkan kartu
g_bet_plan_change,"Pengaturan taruhan Anda belum disimpan, keluar sekarang?"
act_msg,Selamat! Anda menerima hadiah taruhan sebesar %s!
g_bet_plan_save_complete,Berhasil disimpan
gamenotice_deal,Perjanjian pengguna
long_banker,Datanglah seorang long bankers
chat_waving,"Cantik, lambaikan tanganmu~!"
chat_give_kiss,"Hai Cewe, cium aku ~!"
chat_ask_name,"Cantik, siapa namamu?"
chat_popular_cuties,"Gadis cantik ini benar-benar membawa keberuntungan, apapun yang saya harapkan pasti keluar~ haha!"
chat_little_girl,Gadis cantik ~kamu keren~ Aku suka~!
chat_easy_win,"Mudah untuk menang, kamu luar biasa, cantik!"
g_dragon_bet,D
g_tiger_bet,T
g_view_error,"Pemutaran video salah, hubungi pelayanan pelanggan"
g_no_money_to_match,Saldo tidak cukup
g_wait_roading,"Sedang membuka jalur, harap menunggu"
g_join_match_to_battle,"Anda telah bergabung dalam pertandingan ini, ayo semangat!"
g_watch_match,"Anda tidak mendaftar, sedang menonton pertandingan ini!"
g_match_mode,Mode pertandingan
g_match_rigister_fee,Biaya pendaftaran
g_match_intro,"Mode poin adalah pertandingan berdasarkan dari peringkat poin, mode tunai adalah pertandingan berdasarkan dari saldo pemain"
g_match_money_mode,Pertandingan tunai
g_match_point_mode,Pertandingan poin
g_match_open_road,Ronde jalur
g_match_no_add_time,"Anda bukan kontestan, tidak dapat menambah waktu!"
g_watch_match_cannot_join,"Anda bukan kontestan pertandingan ini, tidak dapat bergabung ke pertandingan."
g_watch_match_no_join,"Anda bukan kontestan, sedang menonton pertandingan!"
g_chat_match_join,Chat hanya untuk kontestan pertandingan lho
chat_out_of_limit,Pesan melebihi batas huruf
internet_unstable,Jaringan tidak stabil
g_banker_pair_simple,B Pair
g_player_pair_simple,P Pair
g_bet_again,Ulang
baccarat_banker,B
baccarat_player,P
baccarat_banker_pair,B Pair
baccarat_player_pair,P Pair
roulette_tiers,TIER
roulette_jeu,ZERO
roulette_orphelins,ORPHELINS
roulette_voisins,VOISINS
g_view,Putar ulang
g_cancel_text,Batal
g_leave_room,Keluar
warning_login_again,"Anda telah berhasil mengatur pilihan bahasa. Untuk mengaktifkan bahasa, anda harus login ulang. Login ulang sekarang?"
online_population,Pemain online saat ini
g_probe_open,Buka Roads
videoB,HD
videoS,SD
g_match_finish,Pertandingan telah selesai
g_match_deadline,"Waktu pendaftaran telah berakhir,
 anda bergabung sebagai penonton!"
g_slot,Slot Game
g_live_casino,Live Gaming
g_hot_games,Game Populer
g_latest_games,Game Terbaru
g_all_games,Semua Game
g_game_type,Tipe game
g_free_trial,Trial
g_real_wallet,Dompet hidup
g_general_wallet,Dompet Universal
g_electric_wallet,Dompet elektronik
g_total_amount,Jumlah total
g_wallet_type,Jenis dompet
g_gameroom_left,Sisa babak
g_gameroom_opened,Tersedia
g_natural,Pemenang berbakat
g_win,Menang
g_earn,Anda mendapatkan
g_kickFromBB,"Halaman tidak aktif, silahkan masuk kembali ke dalam ruangan"
g_gameroom_full,Penuh
g_BB_Name,Blockchain Baccarat
g_slot_games,Game elektronik
friend_upLineUser_rent_not_found,Tidak dapat menemukan informasi user online!
friend_downLineUser_rent_not_found,Tidak dapat menemukan informasi user offline!
friend_upLineUser_rent_status_0,User online dapat menggunakan jumlah game tidak mencukupi atau batas risiko telah maksimal! Tidak bisa bertaruh
user_not_found,User tidak tersedia
friend_exceed_risk_limit,Lebih dari batas risiko user online! Tidak bisa bertaruh
friend_sw_cannot_use,Dompet tidak memiliki fungsi pengumpulan poin
friend_tourist_cannot_use,Visitor tidak memiliki fungsi pengumpulan poin
friend_upLineUser_roundCount_not_enough,User online dapat menggunakan jumlah game tidak mencukupi! Tidak bisa bertaruh
friend_set_risk_limit,Harap tetapkan batas maksimal risiko
friend_risk_limit_less_then_1,Batas keamanan resiko harus kurang dari 100%
g_ERROR_REQUEST_VERIFY,Gagal untuk memastikan permintaan
g_ERROR_API_NOT_SUPPORTED,API tidak mendukung
g_ERROR_MISSING_FIELDS,Bagian kosong
g_ERROR_BOOTS_LIST,Daftar shoe salah
g_ERROR_BOOTS_NOT_EXISTS,Shoe tidak tersedia
g_ERROR_JOIN_FULL_BOOTS,Penuh
g_ERROR_GET_ROUNDS_INFO,Gagal memperoleh info babak
g_ERROR_ROUND_NOT_EXISTS,Babak tidak tersedia
g_ERROR_PLAYER_NOT_JOIN,Pemain belum bergabung
g_ERROR_BOOTS_CLOSED,Shoe tutup
g_ERROR_ROUND_CLOSED,Babak tutup
g_ERROR_ROUND_LOCKED,Babak terkunci
g_ERROR_ROUND_UNLOCKED,Babak terbuka
g_ERROR_ROUND_NOT_OWNER,Tidak ada pemenang pada babak ini
g_ERROR_ROUND_DUPLICATE_LOCKED,Duplikat terkunci untuk babak ini
g_ERROR_ROUND_USER_NOT_EXISTS,Pemain meninggalkan babak
g_ERROR_BOOTS_GET,Gagal untuk mengambil shoe
g_ERROR_USER_NOT_EXISTS,Pemain pergi
g_ERROR_BC_BOOT_NOT_EXISTS,Shoe tidak dapat ditemukan di blockchain
g_ERROR_BOOT_NOT_CLOSED,Shoe masih belum selesai
g_ERROR_CASH_NOT_ENOUGH,Saldo tidak cukup
g_ERROR_SERVER_FAILED,Server gagal
g_quick_mode,Mode Cepat
g_quickBet_be_zero,Nilai taruhan tidak boleh 0
warning_ie11,"IE11 tidak mendukung beberapa fitur, silakan gunakan browser chrome untuk mendapatkan pengalaman permainan yang lebih baik."
g_BB_Service,Servis Blockchain
g_BB_Address,Alamat Blockchain
g_BB_BackToLobby,Kembali ke menu utama
g_QuickJoin,Join di game baru
g_QuickJoinHot,Join di akhir game
g_BB_Content,Isi game
exit_app_title,System prompt
exit_app_content,Apakah Anda ingin keluar dari permainan
FriendInvitationText_001,Anda belum mengatur batas resiko dan Mode Kredit
FriendInvitationText_002,"Anda tidak memiliki ronde game, silakan beli dan undang teman-teman!"
FriendInvitationText_003,Kolom tidak boleh kosong
FriendInvitationText_004,Hanya dapat memasukkan bilangan bulat positif
FriendInvitationText_005,"Nilai risiko yang Anda tetapkan terlalu rendah, nilai risiko harus lebih besar dari 0."
FriendInvitationText_006,Pengaturan risiko berhasil!
FriendInvitationText_007,Hanya dapat memasukkan bilangan bulat positif
FriendInvitationText_008,Pembelian minimum 1.000 game
FriendInvitationText_009,Jumlah pembelian berhasil!
FriendInvitationText_010,Jumlah grup undangan hanya bisa 1-10
FriendInvitationText_011,Silakan pilih persentase komisi
FriendInvitationText_012,Masukkan jumlah
FriendInvitationText_013,Masukkan batas maksimal resiko
FriendInvitationText_014,Uang tunai (termasuk modal)
FriendInvitationText_015,Kredit (tidak termasuk modal)
FriendInvitationSkinText_001,Saldo Sisa Resiko
FriendInvitationSkinText_002,Batas Maksimal Resiko
FriendInvitationSkinText_003,Mode Kredit
FriendInvitationSkinText_004,"Mode Kredit dikunci setelah pengaturan, dan tidak dapat dimodifikasi."
FriendInvitationSkinText_005,Mode Kredit terkunci
FriendInvitationSkinText_006,Jumlah game saat ini
FriendInvitationSkinText_007,Pembelian Game
FriendInvitationSkinText_008,Game Bonus
FriendInvitationSkinText_009,Jumlah uang yang dihabiskan
FriendInvitationSkinText_010,Game lainnya
FriendInvitationSkinText_011,Silakan isi jumlah pembelian
FriendInvitationSkinText_012,Masukkan kembali
FriendInvitationSkinText_013,Undangan massal
FriendInvitationSkinText_014,Jumlah undangan
FriendInvitationSkinText_015,Jumlah poin
FriendInvitationSkinText_016,Persentase komisi
FriendInvitationSkinText_017,Masukkan nama panggilan
FriendInvitationSkinText_018,Jumlah poin
FriendInvitationSkinText_020,Pengaturan kode aktivasi
FriendInvitationSkinText_021,Hasilkan kode aktivasi secara acak
FriendInvitationSkinText_022,Mode Resiko dan Kredit
FriendInvitationSkinText_023,Pembelian ronde game
FriendInvitationSkinText_024,Undang Teman
FriendInvitationSkinText_025,Undangan VIP
MailBoxSkinSkinText_001,Pesan belum dibaca
MailBoxSkinSkinText_002,Pesan telah dibaca
MailBoxSkinSkinText_003,Kategori Pesan
MailBoxSkinSkinText_004,Kotak Pesan Personal
MailBoxSkinSkinText_005,Subjek
MailBoxSkinSkinText_006,Kategori Pesan
MailBoxSkinSkinText_008,"Sistem: Hi player, Apa kabar!"
MailBoxSkinSkinText_009,Kembali
UserInfoSkinText_001,Sisa ronde
UserInfoSkinText_002,Nama Panggilan
UserInfoSkinText_003,Poin Awal
UserInfoSkinText_004,Sisa Poin
UserInfoSkinText_005,Persentase Komisi
UserInfoSkinText_006,Operator
UserInfoSkinText_007,Nama Panggilan pengundang
UserInfoSkinText_008,Poin Bonus
UserInfoSkinText_009,Poin Akhir
UserInfoSkinText_010,Mode
UserInfoSkinText_011,Kategori
UserInfoSkinText_012,Poin Pemberian
UserInfoSkinText_013,Status
UserInfoSkinText_014,Jaringan Sosial
UserInfoSkinText_015,Manajemen Undangan
UserInfoSkinText_016,Link Undangan
UserInfoSkinText_017,Sisa Ronde Game Saat Ini
UserInfoSkinText_018,Pencarian Player
UserInfoSkinText_019,Teman ini tidak memiliki catatan pembayaran
UserInfoSkinText_020,Nama panggilan player
UserInfoSkinText_021,ID Player
UserInfoSkinText_022,Informasi pembayaran
UserInfoSkinText_023,Isi ulang
UserInfoSkinText_024,Keterangan
UserInfoSkinText_025,Nama Panggilan Teman
UserInfoSkinText_026,Poin Isi Ulang
UserInfoSkinText_027,ID Teman
UserInfoSkinText_028,Isi Ulang Berhasil
UserInfoSkinText_029,Catatan Pembayaran
UserInfoSkinText_030,"Perhatikan, jumlah catatan maksimum hanya 10"
UserInfoSkinText_031,Konten pesan
UserInfoSkinText_032,Tambahkan
UserInfoSkinText_033,Kategori
UserInfoSkinText_034,Link undangan
UserInfoSkinText_035,Aktifkan
UserInfoSkinText_036,Penarikan kembali
UserInfoSkinText_037,Salin link
UserInfoSkinText_038,Salin kode aktivasi
UserInfoSkinText_039,"Anda tidak memiliki saldo risiko, harap tingkatkan risiko Anda untuk dapat mengundang teman!"
UserInfoSkinText_040,Harap masukkan batas risiko yang ingin Anda ubah.
UserInfoSkinText_041,Kode aktivasi harus berupa alfanumerik dan kombinasi 8 digit
rule_bacc_title,Peraturan Baccarat
rule_bacc_page1_text1,Peraturan dasar
